날짜,확진자수,누적확진자수,데이터기준일
2020-03-09,1,1,2022-09-28
2020-03-10,0,1,2022-09-28
2020-03-11,0,1,2022-09-28
2020-03-12,1,2,2022-09-28
2020-03-13,0,2,2022-09-28
2020-03-14,1,3,2022-09-28
2020-03-15,1,4,2022-09-28
2020-03-16,0,4,2022-09-28
2020-03-17,0,4,2022-09-28
2020-03-18,0,4,2022-09-28
2020-03-19,0,4,2022-09-28
2020-03-20,0,4,2022-09-28
2020-03-21,0,4,2022-09-28
2020-03-22,0,4,2022-09-28
2020-03-23,0,4,2022-09-28
2020-03-24,0,4,2022-09-28
2020-03-25,0,4,2022-09-28
2020-03-26,1,5,2022-09-28
2020-03-27,0,5,2022-09-28
2020-03-28,1,6,2022-09-28
2020-03-29,0,6,2022-09-28
2020-03-30,2,8,2022-09-28
2020-03-31,1,9,2022-09-28
2020-04-01,0,9,2022-09-28
2020-04-02,0,9,2022-09-28
2020-04-03,0,9,2022-09-28
2020-04-04,0,9,2022-09-28
2020-04-05,0,9,2022-09-28
2020-04-06,0,9,2022-09-28
2020-04-07,0,9,2022-09-28
2020-04-08,0,9,2022-09-28
2020-04-09,1,10,2022-09-28
2020-04-10,0,10,2022-09-28
2020-04-11,0,10,2022-09-28
2020-04-12,0,10,2022-09-28
2020-04-13,1,11,2022-09-28
2020-04-14,0,11,2022-09-28
2020-04-15,0,11,2022-09-28
2020-04-16,0,11,2022-09-28
2020-04-17,0,11,2022-09-28
2020-04-18,1,12,2022-09-28
2020-04-19,0,12,2022-09-28
2020-04-20,0,12,2022-09-28
2020-04-21,0,12,2022-09-28
2020-04-22,0,12,2022-09-28
2020-04-23,0,12,2022-09-28
2020-04-24,0,12,2022-09-28
2020-04-25,0,12,2022-09-28
2020-04-26,0,12,2022-09-28
2020-04-27,1,13,2022-09-28
2020-04-28,0,13,2022-09-28
2020-04-29,0,13,2022-09-28
2020-04-30,0,13,2022-09-28
2020-05-01,1,14,2022-09-28
2020-05-02,0,14,2022-09-28
2020-05-03,0,14,2022-09-28
2020-05-04,0,14,2022-09-28
2020-05-05,0,14,2022-09-28
2020-05-06,0,14,2022-09-28
2020-05-07,0,14,2022-09-28
2020-05-08,0,14,2022-09-28
2020-05-09,0,14,2022-09-28
2020-05-10,0,14,2022-09-28
2020-05-11,0,14,2022-09-28
